code,water_source_type,inspecting_agency,inspection_date,distance_to_settlement,date_source_established,latitude,longitude,permanent,months_used,functioning,reason_for_non_functioning,number_of_human_using_source,number_of_camel_using_source,number_of_cattle_using_source,number_of_shoats_using_source,number_of_hectares_irrigated_using_source,source_protected,berkad_depth,berkad_length,berkad_width,other_source_yield,number_of_animal_troughs,source_used_for_water_trucking,number_of_trucks_per_day,supply_system_condition,supply_system_condition_description,wsc_date_of_establishment,last_intervention_description,last_intervention_date,metadata_tag
BKHRBE032,Berkad,SWALIM Archives,2005-02-22,,,4.8271,45.5504,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMTGBC014,Dam,SWALIM_WSIS,2008-06-21,,,8.3738,45.9116,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMTGBC017,Dam,SWALIM_WSIS,2008-06-21,,,8.7429,45.6311,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDHO018,Dug Well,BRCiS,2017-06-01,,,6.021,47.7931,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BHBRQR024,Borehole,SWALIM_WSIS,2008-06-03,,,9.2204,49.1246,No,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGDDO012,Dug Well,SWALIM_WSIS,2009-09-30,,,3.8,42.2,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBA004,Dug Well,SWALIM_WSIS,2008-07-14,,,9.0877,50.4305,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPNGEY015,Spring,SWALIM_WSIS,2008-07-19,,,8.1565,50.0373,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGDBA022,Dam,SWALIM_WSIS,2009-10-30,,,2.395,42.204,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRIS016,Spring,SWALIM_WSIS,2008-06-18,,,11.3713,51.0397,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH017,Spring,SWALIM_WSIS,2008-06-19,,,10.1108,45.2775,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH061,Dug Well,SWALIM_WSIS,2009-08-13,,,3.9311,47.4276,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDGD008,Dug Well,SWALIM_WSIS,2008-07-22,,,7.192,47.5281,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHMDGK035,Borehole,SWALIM_WSIS,2008-07-27,,,6.7962,47.4238,No,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA046,Dam,SWALIM_WSIS,2008-06-23,,,9.0128,44.003,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH032,Dug Well,SWALIM_WSIS,2009-08-18,,,3.8411,47.182,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGLDH006,Dam,COOPI,2012-12-18,,,5.1185,45.8261,Yes,,Yes,,150,150,30,2000,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWMDHO057,Dug Well,SWALIM_WSIS,2009-07-29,,,6.0122,48.1183,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWAWBO051,Dug Well,SWALIM_WSIS,2008-05-27,,,9.9484,43.2329,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLXU041,Dug Well,SWALIM_WSIS,2008-05-27,,,9.1603,47.6192,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO011,Spring,SWALIM_WSIS,2008-05-31,,,11.0667,49.1306,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWZE008,Spring,SWALIM_WSIS,2008-05-16,,,10.573,42.9941,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKNGBU001,Berkad,BRCiS,2017-06-01,,,7.9638,49.1543,,,,,60,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BKGLCU002,Berkad,GSA/SWALIM,2016-02-28,,,4.6821,46.6185,,,,,,,,,,,,,,,,,,,,,,,SWALIM EXCEL FILE: Water_Sources_Data_All_Upto2018
DWGLCH065,Dug Well,SWALIM_WSIS,2009-08-12,,,3.9947,47.4607,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA028,Dam,SWALIM_WSIS,2008-06-23,,,9.3855,43.6586,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO040,Spring,SWALIM_WSIS,2008-05-27,,,11.2095,49.2063,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE021,Berkad,BRCiS,2017-06-01,,,5.1187,45.3887,,,,,220,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMAWBO013,Dam,SWALIM_WSIS,2008-06-18,,,9.7737,43.3444,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH009,Spring,SWALIM_WSIS,2008-05-13,,,10.1653,45.1052,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKSNCL004,Berkad,BRCiS,2017-06-01,,,9.6674,47.0137,,,,,681,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BKTGBC048,Berkad,SWALIM_WSIS,2008-06-20,,,9.5466,45.4005,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,,2.9349,43.3323,,,Yes,,,,,,,,,,,,,,,,,,,,
DWGLCH043,Dug Well,SWALIM_WSIS,2009-08-06,,,3.8106,47.2501,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBYBA034,Dug Well,SWALIM_WSIS,2009-08-26,,,3.1169,43.6585,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH015,Spring,SWALIM_WSIS,2008-05-17,,,9.9439,45.1906,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBKXU017,Dug Well,BRCiS,2017-06-01,,,4.128,43.8885,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMBYBA004,Dam,SWALIM_WSIS,2009-08-12,,,3.2514,43.5414,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLCA029,Dug Well,SWALIM_WSIS,2008-05-17,,,8.9963,46.6549,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHWGBE002,Borehole,SWALIM Archives,1983-03-04,,,10.1819,44.4361,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
SPNGGA003,Spring,SWALIM_WSIS,2008-07-19,,,8.2641,48.3499,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKGLCH002,Berkad,GSA/SWALIM,2016-02-28,,,4.3661,47.0514,,,,,,,,,,,,,,,,,,,,,,,SWALIM EXCEL FILE: Water_Sources_Data_All_Upto2018
DMBYBU002,Dam,SWALIM_WSIS,2009-08-22,,,2.8728,44.0181,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDHO003,Dug Well,BRCiS,2017-06-01,,,5.7962,47.4883,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
,Borehole,FGS Ministry of Energy and Water Resources,,,,3.1677,43.56,,,Abandoned,,,,,,,,,,,,,,,,,,,,
DWMDHO043,Dug Well,SWALIM_WSIS,2009-07-22,,,6.368,47.9509,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLTA039,Dug Well,SWALIM_WSIS,2008-06-03,,,9.5022,49.0603,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMBYDI010,Dam,SWALIM_WSIS,2009-10-15,,,2.5208,42.681,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWAWBA053,Dug Well,SWALIM_WSIS,2008-05-30,,,9.9737,43.4266,,,Abandoned,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBA028,Spring,SWALIM_WSIS,2008-07-12,,,9.1574,50.6463,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWWGBE033,Dug Well,SWALIM_WSIS,2008-06-14,,,10.1669,45.989,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO027,Dug Well,SWALIM_WSIS,2008-05-29,,,11.282,49.1745,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
